year,age,age_start,age_width,sex,cod,px
1927,20-24,20,5,female,Neoplasms,0.00659
1927,20-24,20,5,female,Other,0.94842
1927,25-29,25,5,female,External,0.04753
1927,25-29,25,5,female,Neoplasms,0.01495
1927,25-29,25,5,female,Other,0.93751
1927,30-34,30,5,female,External,0.04456
1927,30-34,30,5,female,Neoplasms,0.03826
1927,30-34,30,5,female,Other,0.91718
1927,35-39,35,5,female,External,0.05065
1927,35-39,35,5,female,Neoplasms,0.06711
1927,35-39,35,5,female,Other,0.88224
1927,40-44,40,5,female,External,0.05706
1927,40-44,40,5,female,Neoplasms,0.11245
1927,40-44,40,5,female,Other,0.83049
1927,45-49,45,5,female,External,0.05420
1927,45-49,45,5,female,Neoplasms,0.15169
1927,45-49,45,5,female,Other,0.79411
1927,50-54,50,5,female,External,0.04365
1927,50-54,50,5,female,Neoplasms,0.16249
1927,50-54,50,5,female,Other,0.79387
1927,55-59,55,5,female,External,0.03747
1927,55-59,55,5,female,Neoplasms,0.16194
1927,55-59,55,5,female,Other,0.80059
1927,60-64,60,5,female,External,0.03133
1927,60-64,60,5,female,Neoplasms,0.14498
1927,60-64,60,5,female,Other,0.82369
1927,65-69,65,5,female,External,0.02390
1927,65-69,65,5,female,Neoplasms,0.11615
1927,65-69,65,5,female,Other,0.85995
1927,70-74,70,5,female,External,0.01746
1927,70-74,70,5,female,Neoplasms,0.08265
1927,70-74,70,5,female,Other,0.89989
1927,75-79,75,5,female,External,0.01420
1927,75-79,75,5,female,Neoplasms,0.05081
1927,75-79,75,5,female,Other,0.93499
1927,80-84,80,5,female,External,0.01147
1927,80-84,80,5,female,Neoplasms,0.02974
1927,80-84,80,5,female,Other,0.95879
1927,85-89,85,5,female,External,0.01016
1927,85-89,85,5,female,Neoplasms,0.01892
1927,85-89,85,5,female,Other,0.97092
1927,90-94,90,5,female,External,0.00912
1927,90-94,90,5,female,Neoplasms,0.00861
1927,90-94,90,5,female,Other,0.98227
1927,95-99,95,5,female,External,0.00817
1927,95-99,95,5,female,Neoplasms,0.00919
1927,95-99,95,5,female,Other,0.98264
1927,100+,100,5,female,External,0.01205
1927,100+,100,5,female,Neoplasms,0.01205
1927,100+,100,5,female,Other,0.97590
1928,<1,0,1,female,External,0.00619
1928,<1,0,1,female,Neoplasms,0.00019
1928,<1,0,1,female,Other,0.99362
1928,1-4,1,4,female,External,0.04706
1928,1-4,1,4,female,Neoplasms,0.00256
1928,1-4,1,4,female,Other,0.95038
1928,5-9,5,5,female,External,0.06214
1928,5-9,5,5,female,Neoplasms,0.00502
1928,5-9,5,5,female,Other,0.93284
1928,10-14,10,5,female,External,0.05399
1928,10-14,10,5,female,Neoplasms,0.01116
1928,10-14,10,5,female,Other,0.93485
1928,15-19,15,5,female,External,0.04430
1928,15-19,15,5,female,Neoplasms,0.00452
1928,15-19,15,5,female,Other,0.95119
1928,20-24,20,5,female,External,0.04404
1928,20-24,20,5,female,Neoplasms,0.00560
1928,20-24,20,5,female,Other,0.95036
1928,25-29,25,5,female,External,0.05290
1928,25-29,25,5,female,Neoplasms,0.01258
1928,25-29,25,5,female,Other,0.93452
1928,30-34,30,5,female,External,0.05078
1928,30-34,30,5,female,Neoplasms,0.03818
1928,30-34,30,5,female,Other,0.91104
1928,35-39,35,5,female,External,0.05486
1928,35-39,35,5,female,Neoplasms,0.06194
1928,35-39,35,5,female,Other,0.88319
1928,40-44,40,5,female,External,0.06045
1928,40-44,40,5,female,Neoplasms,0.11516
1928,40-44,40,5,female,Other,0.82439
1928,45-49,45,5,female,External,0.06111
1928,45-49,45,5,female,Neoplasms,0.15246
1928,45-49,45,5,female,Other,0.78643
1928,50-54,50,5,female,External,0.04486
1928,50-54,50,5,female,Neoplasms,0.16273
1928,50-54,50,5,female,Other,0.79241
1928,55-59,55,5,female,External,0.03736
1928,55-59,55,5,female,Neoplasms,0.16073
1928,55-59,55,5,female,Other,0.80191
1928,60-64,60,5,female,External,0.03247
1928,60-64,60,5,female,Neoplasms,0.14689
1928,60-64,60,5,female,Other,0.82064
1928,65-69,65,5,female,External,0.02505
1928,65-69,65,5,female,Neoplasms,0.11598
1928,65-69,65,5,female,Other,0.85897
1928,70-74,70,5,female,External,0.01690
1928,70-74,70,5,female,Neoplasms,0.08655
1928,70-74,70,5,female,Other,0.89655
1928,75-79,75,5,female,External,0.01363
1928,75-79,75,5,female,Neoplasms,0.05779
1928,75-79,75,5,female,Other,0.92857
1928,80-84,80,5,female,External,0.01177
1928,80-84,80,5,female,Neoplasms,0.03273
1928,80-84,80,5,female,Other,0.95550
1928,85-89,85,5,female,External,0.00925
1928,85-89,85,5,female,Neoplasms,0.02055
1928,85-89,85,5,female,Other,0.97020
1928,90-94,90,5,female,External,0.01017
1928,90-94,90,5,female,Neoplasms,0.00934
1928,90-94,90,5,female,Other,0.98049
1928,95-99,95,5,female,External,0.01075
1928,95-99,95,5,female,Neoplasms,0.00753
1928,95-99,95,5,female,Other,0.98172
1928,100+,100,5,female,External,0.00000
1928,100+,100,5,female,Neoplasms,0.00000
1928,100+,100,5,female,Other,1.00000
1929,<1,0,1,female,External,0.00874
1929,<1,0,1,female,Neoplasms,0.00019
1929,<1,0,1,female,Other,0.99108
1929,1-4,1,4,female,External,0.05528
1929,1-4,1,4,female,Neoplasms,0.00347
1929,1-4,1,4,female,Other,0.94125
1929,5-9,5,5,female,External,0.07189
1929,5-9,5,5,female,Neoplasms,0.00585
1929,5-9,5,5,female,Other,0.92226
1929,10-14,10,5,female,External,0.05579
1929,10-14,10,5,female,Neoplasms,0.00723
1929,10-14,10,5,female,Other,0.93698
1929,15-19,15,5,female,External,0.04405
1929,15-19,15,5,female,Neoplasms,0.00549
1929,15-19,15,5,female,Other,0.95046
1929,20-24,20,5,female,External,0.04138
1929,20-24,20,5,female,Neoplasms,0.00653
1929,20-24,20,5,female,Other,0.95209
1929,25-29,25,5,female,External,0.05162
1929,25-29,25,5,female,Neoplasms,0.01350
1929,25-29,25,5,female,Other,0.93487
1929,30-34,30,5,female,External,0.05249
1929,30-34,30,5,female,Neoplasms,0.03382
1929,30-34,30,5,female,Other,0.91369
1929,35-39,35,5,female,External,0.05209
1929,35-39,35,5,female,Neoplasms,0.06388
1929,35-39,35,5,female,Other,0.88404
1929,40-44,40,5,female,External,0.05830
1929,40-44,40,5,female,Neoplasms,0.10556
1929,40-44,40,5,female,Other,0.83614
1929,45-49,45,5,female,External,0.05548
1929,45-49,45,5,female,Neoplasms,0.14040
1929,45-49,45,5,female,Other,0.80412
1929,50-54,50,5,female,External,0.04566
1929,50-54,50,5,female,Neoplasms,0.14937
1929,50-54,50,5,female,Other,0.80496
1929,55-59,55,5,female,External,0.03734
1929,55-59,55,5,female,Neoplasms,0.14712
1929,55-59,55,5,female,Other,0.81554
1929,60-64,60,5,female,External,0.03480
1929,60-64,60,5,female,Neoplasms,0.13115
1929,60-64,60,5,female,Other,0.83405
1929,65-69,65,5,female,External,0.02568
1929,65-69,65,5,female,Neoplasms,0.10632
1929,65-69,65,5,female,Other,0.86800
1929,70-74,70,5,female,External,0.01748
1929,70-74,70,5,female,Neoplasms,0.07804
1929,70-74,70,5,female,Other,0.90448
1929,75-79,75,5,female,External,0.01356
1929,75-79,75,5,female,Neoplasms,0.04912
1929,75-79,75,5,female,Other,0.93732
1929,80-84,80,5,female,External,0.01047
1929,80-84,80,5,female,Neoplasms,0.02672
1929,80-84,80,5,female,Other,0.96281
1929,85-89,85,5,female,External,0.00906
1929,85-89,85,5,female,Neoplasms,0.01816
1929,85-89,85,5,female,Other,0.97278
1929,90-94,90,5,female,External,0.00994
1929,90-94,90,5,female,Neoplasms,0.00965
1929,90-94,90,5,female,Other,0.98040
1929,95-99,95,5,female,External,0.00739
1929,95-99,95,5,female,Neoplasms,0.00554
1929,95-99,95,5,female,Other,0.98707
1929,100+,100,5,female,External,0.00000
1929,100+,100,5,female,Neoplasms,0.00000
1929,100+,100,5,female,Other,1.00000
1930,<1,0,1,female,External,0.00927
1930,<1,0,1,female,Neoplasms,0.00007
1930,<1,0,1,female,Other,0.99065
1930,1-4,1,4,female,External,0.06437
1930,1-4,1,4,female,Neoplasms,0.00253
1930,1-4,1,4,female,Other,0.93311
1930,5-9,5,5,female,External,0.07257
1930,5-9,5,5,female,Neoplasms,0.00609
1930,5-9,5,5,female,Other,0.92134
1930,10-14,10,5,female,External,0.05137
1930,10-14,10,5,female,Neoplasms,0.01197
1930,10-14,10,5,female,Other,0.93666
1930,15-19,15,5,female,External,0.05222
1930,15-19,15,5,female,Neoplasms,0.00506
1930,15-19,15,5,female,Other,0.94272
1930,20-24,20,5,female,External,0.04700
1930,20-24,20,5,female,Neoplasms,0.00753
1930,20-24,20,5,female,Other,0.94547
1930,25-29,25,5,female,External,0.05684
1930,25-29,25,5,female,Neoplasms,0.01238
1930,25-29,25,5,female,Other,0.93078
1930,30-34,30,5,female,External,0.06501
1930,30-34,30,5,female,Neoplasms,0.03570
1930,30-34,30,5,female,Other,0.89929
1930,35-39,35,5,female,External,0.05977
1930,35-39,35,5,female,Neoplasms,0.06863
1930,35-39,35,5,female,Other,0.87160
1930,40-44,40,5,female,External,0.06988
1930,40-44,40,5,female,Neoplasms,0.11461
1930,40-44,40,5,female,Other,0.81550
1930,45-49,45,5,female,External,0.06462
1930,45-49,45,5,female,Neoplasms,0.15099
1930,45-49,45,5,female,Other,0.78439
1930,50-54,50,5,female,External,0.05270
1930,50-54,50,5,female,Neoplasms,0.16110
1930,50-54,50,5,female,Other,0.78620
1930,55-59,55,5,female,External,0.04159
1930,55-59,55,5,female,Neoplasms,0.15682
1930,55-59,55,5,female,Other,0.80160
1930,60-64,60,5,female,External,0.03824
1930,60-64,60,5,female,Neoplasms,0.15284
1930,60-64,60,5,female,Other,0.80892
1930,65-69,65,5,female,External,0.02826
1930,65-69,65,5,female,Neoplasms,0.12003
1930,65-69,65,5,female,Other,0.85171
1930,70-74,70,5,female,External,0.01948
1930,70-74,70,5,female,Neoplasms,0.07507
1930,70-74,70,5,female,Other,0.90545
1930,75-79,75,5,female,External,0.01826
1930,75-79,75,5,female,Neoplasms,0.07546
1930,75-79,75,5,female,Other,0.90629
1930,80-84,80,5,female,External,0.01276
1930,80-84,80,5,female,Neoplasms,0.02820
1930,80-84,80,5,female,Other,0.95904
1930,85-89,85,5,female,External,0.01263
1930,85-89,85,5,female,Neoplasms,0.02833
1930,85-89,85,5,female,Other,0.95903
1930,90-94,90,5,female,External,0.01239
1930,90-94,90,5,female,Neoplasms,0.02821
1930,90-94,90,5,female,Other,0.95940
1930,95-99,95,5,female,External,0.01209
1930,95-99,95,5,female,Neoplasms,0.02781
1930,95-99,95,5,female,Other,0.96010
1930,100+,100,5,female,External,0.01538
1930,100+,100,5,female,Neoplasms,0.03077
1930,100+,100,5,female,Other,0.95385
1931,<1,0,1,female,External,0.00865
1931,<1,0,1,female,Neoplasms,0.00059
1931,<1,0,1,female,Other,0.99076
1931,1-4,1,4,female,External,0.06363
1931,1-4,1,4,female,Neoplasms,0.00329
1931,1-4,1,4,female,Other,0.93309
1931,5-9,5,5,female,External,0.08276
1931,5-9,5,5,female,Neoplasms,0.00578
1931,5-9,5,5,female,Other,0.91146
1931,10-14,10,5,female,External,0.06298
1931,10-14,10,5,female,Neoplasms,0.00809
1931,10-14,10,5,female,Other,0.92894
1931,15-19,15,5,female,External,0.05562
1931,15-19,15,5,female,Neoplasms,0.00598
1931,15-19,15,5,female,Other,0.93840
1931,20-24,20,5,female,External,0.05472
1931,20-24,20,5,female,Neoplasms,0.00715
1931,20-24,20,5,female,Other,0.93813
1931,25-29,25,5,female,External,0.05907
1931,25-29,25,5,female,Neoplasms,0.01392
1931,25-29,25,5,female,Other,0.92702
1931,30-34,30,5,female,External,0.06381
1931,30-34,30,5,female,Neoplasms,0.03648
1931,30-34,30,5,female,Other,0.89972
1931,35-39,35,5,female,External,0.06587
1931,35-39,35,5,female,Neoplasms,0.06779
1931,35-39,35,5,female,Other,0.86635
1931,40-44,40,5,female,External,0.07505
1931,40-44,40,5,female,Neoplasms,0.11167
1931,40-44,40,5,female,Other,0.81329
1931,45-49,45,5,female,External,0.07018
1931,45-49,45,5,female,Neoplasms,0.14400
1931,45-49,45,5,female,Other,0.78583
1931,50-54,50,5,female,External,0.05342
1931,50-54,50,5,female,Neoplasms,0.15663
1931,50-54,50,5,female,Other,0.78994
1931,55-59,55,5,female,External,0.04241
1931,55-59,55,5,female,Neoplasms,0.15688
1931,55-59,55,5,female,Other,0.80071
1931,60-64,60,5,female,External,0.03956
1931,60-64,60,5,female,Neoplasms,0.14066
1931,60-64,60,5,female,Other,0.81978
1931,65-69,65,5,female,External,0.03151
1931,65-69,65,5,female,Neoplasms,0.11867
1931,65-69,65,5,female,Other,0.84981
1931,70-74,70,5,female,External,0.01893
1931,70-74,70,5,female,Neoplasms,0.06984
1931,70-74,70,5,female,Other,0.91123
1931,75-79,75,5,female,External,0.01741
1931,75-79,75,5,female,Neoplasms,0.07034
1931,75-79,75,5,female,Other,0.91225
1931,80-84,80,5,female,External,0.01116
1931,80-84,80,5,female,Neoplasms,0.02496
1931,80-84,80,5,female,Other,0.96389
1931,85-89,85,5,female,External,0.01100
1931,85-89,85,5,female,Neoplasms,0.02508
1931,85-89,85,5,female,Other,0.96392
1931,90-94,90,5,female,External,0.01070
1931,90-94,90,5,female,Neoplasms,0.02507
1931,90-94,90,5,female,Other,0.96423
1931,95-99,95,5,female,External,0.01018
1931,95-99,95,5,female,Neoplasms,0.02498
1931,95-99,95,5,female,Other,0.96485
1931,100+,100,5,female,External,0.01190
1931,100+,100,5,female,Neoplasms,0.02381
1931,100+,100,5,female,Other,0.96429
1932,<1,0,1,female,External,0.00671
1932,<1,0,1,female,Neoplasms,0.00091
1932,<1,0,1,female,Other,0.99239
1932,1-4,1,4,female,External,0.05988
1932,1-4,1,4,female,Neoplasms,0.00522
1932,1-4,1,4,female,Other,0.93490
1932,5-9,5,5,female,External,0.07783
1932,5-9,5,5,female,Neoplasms,0.00658
1932,5-9,5,5,female,Other,0.91559
1932,10-14,10,5,female,External,0.05866
1932,10-14,10,5,female,Neoplasms,0.00951
1932,10-14,10,5,female,Other,0.93183
1932,15-19,15,5,female,External,0.06295
1932,15-19,15,5,female,Neoplasms,0.00646
1932,15-19,15,5,female,Other,0.93059
1932,20-24,20,5,female,External,0.06073
1932,20-24,20,5,female,Neoplasms,0.00700
1932,20-24,20,5,female,Other,0.93227
1932,25-29,25,5,female,External,0.06181
1932,25-29,25,5,female,Neoplasms,0.01429
1932,25-29,25,5,female,Other,0.92390
1932,30-34,30,5,female,External,0.07157
1932,30-34,30,5,female,Neoplasms,0.03604
1932,30-34,30,5,female,Other,0.89239
1932,35-39,35,5,female,External,0.06733
1932,35-39,35,5,female,Neoplasms,0.06832
1932,35-39,35,5,female,Other,0.86434
1932,40-44,40,5,female,External,0.07906
1932,40-44,40,5,female,Neoplasms,0.11166
1932,40-44,40,5,female,Other,0.80927
1932,45-49,45,5,female,External,0.07150
1932,45-49,45,5,female,Neoplasms,0.14996
1932,45-49,45,5,female,Other,0.77853
1932,50-54,50,5,female,External,0.06012
1932,50-54,50,5,female,Neoplasms,0.15655
1932,50-54,50,5,female,Other,0.78333
1932,55-59,55,5,female,External,0.04582
1932,55-59,55,5,female,Neoplasms,0.15962
1932,55-59,55,5,female,Other,0.79456
1932,60-64,60,5,female,External,0.04439
1932,60-64,60,5,female,Neoplasms,0.14371
1932,60-64,60,5,female,Other,0.81190
1932,65-69,65,5,female,External,0.03250
1932,65-69,65,5,female,Neoplasms,0.11971
1932,65-69,65,5,female,Other,0.84779
1932,70-74,70,5,female,External,0.01972
1932,70-74,70,5,female,Neoplasms,0.07401
1932,70-74,70,5,female,Other,0.90627
1932,75-79,75,5,female,External,0.01818
1932,75-79,75,5,female,Neoplasms,0.07448
1932,75-79,75,5,female,Other,0.90734
1932,80-84,80,5,female,External,0.01095
1932,80-84,80,5,female,Neoplasms,0.02751
1932,80-84,80,5,female,Other,0.96153
1932,85-89,85,5,female,External,0.01078
1932,85-89,85,5,female,Neoplasms,0.02760
1932,85-89,85,5,female,Other,0.96163
1932,90-94,90,5,female,External,0.01039
1932,90-94,90,5,female,Neoplasms,0.02756
1932,90-94,90,5,female,Other,0.96205
1932,95-99,95,5,female,External,0.00951
1932,95-99,95,5,female,Neoplasms,0.02757
1932,95-99,95,5,female,Other,0.96293
1932,100+,100,5,female,External,0.01493
1932,100+,100,5,female,Neoplasms,0.02985
1932,100+,100,5,female,Other,0.95522
1933,<1,0,1,female,External,0.00780
1933,<1,0,1,female,Neoplasms,0.00043
1933,<1,0,1,female,Other,0.99178
1933,1-4,1,4,female,External,0.06574
1933,1-4,1,4,female,Neoplasms,0.00530
1933,1-4,1,4,female,Other,0.92896
1933,5-9,5,5,female,External,0.08979
1933,5-9,5,5,female,Neoplasms,0.00713
1933,5-9,5,5,female,Other,0.90308
1933,10-14,10,5,female,External,0.06475
1933,10-14,10,5,female,Neoplasms,0.01086
1933,10-14,10,5,female,Other,0.92439
1933,15-19,15,5,female,External,0.06392
1933,15-19,15,5,female,Neoplasms,0.00841
1933,15-19,15,5,female,Other,0.92767
1933,20-24,20,5,female,External,0.06080
1933,20-24,20,5,female,Neoplasms,0.00727
1933,20-24,20,5,female,Other,0.93193
1933,25-29,25,5,female,External,0.07098
1933,25-29,25,5,female,Neoplasms,0.01499
1933,25-29,25,5,female,Other,0.91403
1933,30-34,30,5,female,External,0.07328
1933,30-34,30,5,female,Neoplasms,0.03723
1933,30-34,30,5,female,Other,0.88949
1933,35-39,35,5,female,External,0.07425
1933,35-39,35,5,female,Neoplasms,0.07008
1933,35-39,35,5,female,Other,0.85566
1933,40-44,40,5,female,External,0.07989
1933,40-44,40,5,female,Neoplasms,0.10740
1933,40-44,40,5,female,Other,0.81271
1933,45-49,45,5,female,External,0.07202
1933,45-49,45,5,female,Neoplasms,0.14254
1933,45-49,45,5,female,Other,0.78544
1933,50-54,50,5,female,External,0.05680
1933,50-54,50,5,female,Neoplasms,0.15190
1933,50-54,50,5,female,Other,0.79129
1933,55-59,55,5,female,External,0.04503
1933,55-59,55,5,female,Neoplasms,0.15430
1933,55-59,55,5,female,Other,0.80067
1933,60-64,60,5,female,External,0.04365
1933,60-64,60,5,female,Neoplasms,0.13963
1933,60-64,60,5,female,Other,0.81672
1933,65-69,65,5,female,External,0.03245
1933,65-69,65,5,female,Neoplasms,0.11893
1933,65-69,65,5,female,Other,0.84862
1933,70-74,70,5,female,External,0.01983
1933,70-74,70,5,female,Neoplasms,0.07207
1933,70-74,70,5,female,Other,0.90810
1933,75-79,75,5,female,External,0.01823
1933,75-79,75,5,female,Neoplasms,0.07222
1933,75-79,75,5,female,Other,0.90955
1933,80-84,80,5,female,External,0.01237
1933,80-84,80,5,female,Neoplasms,0.02554
1933,80-84,80,5,female,Other,0.96208
1933,85-89,85,5,female,External,0.01219
1933,85-89,85,5,female,Neoplasms,0.02569
1933,85-89,85,5,female,Other,0.96212
1933,90-94,90,5,female,External,0.01170
1933,90-94,90,5,female,Neoplasms,0.02563
1933,90-94,90,5,female,Other,0.96267
1933,95-99,95,5,female,External,0.01169
1933,95-99,95,5,female,Neoplasms,0.02518
1933,95-99,95,5,female,Other,0.96313
1933,100+,100,5,female,External,0.01190
1933,100+,100,5,female,Neoplasms,0.02381
1933,100+,100,5,female,Other,0.96429
1934,<1,0,1,female,External,0.00693
1934,<1,0,1,female,Neoplasms,0.00019
1934,<1,0,1,female,Other,0.99289
1934,1-4,1,4,female,External,0.06366
1934,1-4,1,4,female,Neoplasms,0.00475
1934,1-4,1,4,female,Other,0.93160
1934,5-9,5,5,female,External,0.07812
1934,5-9,5,5,female,Neoplasms,0.00745
1934,5-9,5,5,female,Other,0.91443
1934,10-14,10,5,female,External,0.06433
1934,10-14,10,5,female,Neoplasms,0.01294
1934,10-14,10,5,female,Other,0.92274
1934,15-19,15,5,female,External,0.06578
1934,15-19,15,5,female,Neoplasms,0.00735
1934,15-19,15,5,female,Other,0.92687
1934,20-24,20,5,female,External,0.07100
1934,20-24,20,5,female,Neoplasms,0.00971
1934,20-24,20,5,female,Other,0.91930
1934,25-29,25,5,female,External,0.06859
1934,25-29,25,5,female,Neoplasms,0.01444
1934,25-29,25,5,female,Other,0.91697
1934,30-34,30,5,female,External,0.07512
1934,30-34,30,5,female,Neoplasms,0.03826
1934,30-34,30,5,female,Other,0.88662
1934,35-39,35,5,female,External,0.07153
1934,35-39,35,5,female,Neoplasms,0.06525
1934,35-39,35,5,female,Other,0.86321
1934,40-44,40,5,female,External,0.07764
1934,40-44,40,5,female,Neoplasms,0.11652
1934,40-44,40,5,female,Other,0.80583
1934,45-49,45,5,female,External,0.07669
1934,45-49,45,5,female,Neoplasms,0.14468
1934,45-49,45,5,female,Other,0.77863
1934,50-54,50,5,female,External,0.06132
1934,50-54,50,5,female,Neoplasms,0.15846
1934,50-54,50,5,female,Other,0.78021
1934,55-59,55,5,female,External,0.05030
1934,55-59,55,5,female,Neoplasms,0.15518
1934,55-59,55,5,female,Other,0.79452
1934,60-64,60,5,female,External,0.04202
1934,60-64,60,5,female,Neoplasms,0.14031
1934,60-64,60,5,female,Other,0.81766
1934,65-69,65,5,female,External,0.03219
