---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1947,female,15-19,000*-999*,2147
1948,female,15-19,000*-999*,1708
1949,female,15-19,000*-999*,1608
1950,female,15-19,000*-999*,1281
1951,female,15-19,000*-999*,1162
1952,female,15-19,000*-999*,960
1953,female,15-19,000*-999*,834
1954,female,15-19,000*-999*,784
1955,female,15-19,000*-999*,685
1956,female,15-19,000*-999*,662
1957,female,15-19,000*-999*,693
1958,female,15-19,000*-999*,595
1959,female,15-19,000*-999*,582
1960,female,15-19,000*-999*,602
1961,female,15-19,000*-999*,654
1962,female,15-19,000*-999*,789
1963,female,15-19,000*-999*,826
1964,female,15-19,000*-999*,875
1965,female,15-19,000*-999*,941
1966,female,15-19,000*-999*,909
1967,female,15-19,000*-999*,1022
1968,female,15-19,000*-999*,1046
1969,female,15-19,000*-999*,1059
1970,female,15-19,000*-999*,1074
1971,female,15-19,000*-999*,1076
1972,female,15-19,000*-999*,1133
1973,female,15-19,000*-999*,1119
1974,female,15-19,000*-999*,1092
1975,female,15-19,000*-999*,1032
1976,female,15-19,000*-999*,1077
1977,female,15-19,000*-999*,1038
1978,female,15-19,000*-999*,1008
1979,female,15-19,000*-999*,1048
1980,female,15-19,000*-999*,1035
1981,female,15-19,000*-999*,1053
1982,female,15-19,000*-999*,953
1983,female,15-19,000*-999*,906
1984,female,15-19,000*-999*,876
1985,female,15-19,000*-999*,818
1986,female,15-19,000*-999*,827
1987,female,15-19,000*-999*,705
1988,female,15-19,000*-999*,716
1989,female,15-19,000*-999*,685
1990,female,15-19,000*-999*,678
1991,female,15-19,000*-999*,627
1992,female,15-19,000*-999*,596
1993,female,15-19,000*-999*,604
1994,female,15-19,000*-999*,498
1995,female,15-19,000*-999*,540
1996,female,15-19,000*-999*,513
1997,female,15-19,000*-999*,526
1998,female,15-19,000*-999*,500
1999,female,15-19,000*-999*,502
1925,female,20-24,000*-999*,9681
1926,female,20-24,000*-999*,9898
1927,female,20-24,000*-999*,9403
1928,female,20-24,000*-999*,9105
1929,female,20-24,000*-999*,9183
1930,female,20-24,000*-999*,8234
1931,female,20-24,000*-999*,8114
1932,female,20-24,000*-999*,7426
1933,female,20-24,000*-999*,6875
1934,female,20-24,000*-999*,6592
1935,female,20-24,000*-999*,5987
1936,female,20-24,000*-999*,5144
1937,female,20-24,000*-999*,4634
1938,female,20-24,000*-999*,4211
1939,female,20-24,000*-999*,3477
1940,female,20-24,000*-999*,4217
1941,female,20-24,000*-999*,4306
1942,female,20-24,000*-999*,4807
1943,female,20-24,000*-999*,5183
1944,female,20-24,000*-999*,7152
1945,female,20-24,000*-999*,4802
1946,female,20-24,000*-999*,3908
1947,female,20-24,000*-999*,3372
1948,female,20-24,000*-999*,2730
1949,female,20-24,000*-999*,2333
1950,female,20-24,000*-999*,2072
1951,female,20-24,000*-999*,1930
1952,female,20-24,000*-999*,1552
1953,female,20-24,000*-999*,1450
1954,female,20-24,000*-999*,1283
1955,female,20-24,000*-999*,1146
1956,female,20-24,000*-999*,1039
1957,female,20-24,000*-999*,1038
1958,female,20-24,000*-999*,940
1959,female,20-24,000*-999*,1027
1960,female,20-24,000*-999*,955
1961,female,20-24,000*-999*,813
1962,female,20-24,000*-999*,851
1963,female,20-24,000*-999*,945
1964,female,20-24,000*-999*,889
1965,female,20-24,000*-999*,960
1966,female,20-24,000*-999*,1022
1967,female,20-24,000*-999*,1202
1968,female,20-24,000*-999*,1213
1969,female,20-24,000*-999*,1302
1970,female,20-24,000*-999*,1299
1971,female,20-24,000*-999*,1377
1972,female,20-24,000*-999*,1408
1973,female,20-24,000*-999*,1421
1974,female,20-24,000*-999*,1237
1975,female,20-24,000*-999*,1255
1976,female,20-24,000*-999*,1234
1977,female,20-24,000*-999*,1305
1978,female,20-24,000*-999*,1194
1979,female,20-24,000*-999*,1203
1980,female,20-24,000*-999*,1231
1981,female,20-24,000*-999*,1156
1982,female,20-24,000*-999*,1174
1983,female,20-24,000*-999*,1214
1984,female,20-24,000*-999*,1153
1985,female,20-24,000*-999*,1142
1986,female,20-24,000*-999*,1080
1987,female,20-24,000*-999*,1000
1988,female,20-24,000*-999*,976
1989,female,20-24,000*-999*,1010
1990,female,20-24,000*-999*,903
1991,female,20-24,000*-999*,961
1992,female,20-24,000*-999*,925
1993,female,20-24,000*-999*,958
1994,female,20-24,000*-999*,884
1995,female,20-24,000*-999*,903
1996,female,20-24,000*-999*,802
1997,female,20-24,000*-999*,713
1998,female,20-24,000*-999*,741
1999,female,20-24,000*-999*,708
1925,female,25-29,000*-999*,9243
1926,female,25-29,000*-999*,9357
1927,female,25-29,000*-999*,8962
1928,female,25-29,000*-999*,8980
1929,female,25-29,000*-999*,9182
1930,female,25-29,000*-999*,8321
1931,female,25-29,000*-999*,8262
1932,female,25-29,000*-999*,7556
1933,female,25-29,000*-999*,7340
1934,female,25-29,000*-999*,6925
1935,female,25-29,000*-999*,6951
1936,female,25-29,000*-999*,6278
1937,female,25-29,000*-999*,6551
1938,female,25-29,000*-999*,6265
1939,female,25-29,000*-999*,5545
1940,female,25-29,000*-999*,5771
1941,female,25-29,000*-999*,4757
1942,female,25-29,000*-999*,4206
1943,female,25-29,000*-999*,3889
1944,female,25-29,000*-999*,4439
1945,female,25-29,000*-999*,3574
1946,female,25-29,000*-999*,3519
1947,female,25-29,000*-999*,3359
1948,female,25-29,000*-999*,3144
1949,female,25-29,000*-999*,3094
1950,female,25-29,000*-999*,2607
1951,female,25-29,000*-999*,2574
1952,female,25-29,000*-999*,2028
1953,female,25-29,000*-999*,1913
1954,female,25-29,000*-999*,1705
1955,female,25-29,000*-999*,1648
1956,female,25-29,000*-999*,1536
1957,female,25-29,000*-999*,1517
1958,female,25-29,000*-999*,1324
1959,female,25-29,000*-999*,1309
1960,female,25-29,000*-999*,1277
1961,female,25-29,000*-999*,1190
1962,female,25-29,000*-999*,1131
1963,female,25-29,000*-999*,1211
1964,female,25-29,000*-999*,1007
1965,female,25-29,000*-999*,1073
1966,female,25-29,000*-999*,1031
1967,female,25-29,000*-999*,1035
1968,female,25-29,000*-999*,971
1969,female,25-29,000*-999*,1007
1970,female,25-29,000*-999*,987
1971,female,25-29,000*-999*,1075
1972,female,25-29,000*-999*,1187
1973,female,25-29,000*-999*,1197
1974,female,25-29,000*-999*,1247
1975,female,25-29,000*-999*,1338
1976,female,25-29,000*-999*,1347
1977,female,25-29,000*-999*,1380
1978,female,25-29,000*-999*,1241
1979,female,25-29,000*-999*,1216
1980,female,25-29,000*-999*,1239
1981,female,25-29,000*-999*,1221
1982,female,25-29,000*-999*,1254
1983,female,25-29,000*-999*,1322
1984,female,25-29,000*-999*,1238
1985,female,25-29,000*-999*,1207
1986,female,25-29,000*-999*,1180
1987,female,25-29,000*-999*,1095
1988,female,25-29,000*-999*,1173
1989,female,25-29,000*-999*,1150
1990,female,25-29,000*-999*,1168
1991,female,25-29,000*-999*,1227
1992,female,25-29,000*-999*,1200
1993,female,25-29,000*-999*,1192
1994,female,25-29,000*-999*,1131
1995,female,25-29,000*-999*,1103
1996,female,25-29,000*-999*,1016
1997,female,25-29,000*-999*,855
1998,female,25-29,000*-999*,888
1999,female,25-29,000*-999*,835
1925,female,30-34,000*-999*,8664
1926,female,30-34,000*-999*,8904
1927,female,30-34,000*-999*,8573
1928,female,30-34,000*-999*,8330
1929,female,30-34,000*-999*,8516
1930,female,30-34,000*-999*,7983
1931,female,30-34,000*-999*,8087
1932,female,30-34,000*-999*,7685
1933,female,30-34,000*-999*,7574
1934,female,30-34,000*-999*,7162
1935,female,30-34,000*-999*,7232
1936,female,30-34,000*-999*,6752
1937,female,30-34,000*-999*,6526
1938,female,30-34,000*-999*,6582
1939,female,30-34,000*-999*,5878
1940,female,30-34,000*-999*,6841
1941,female,30-34,000*-999*,5983
1942,female,30-34,000*-999*,5967
1943,female,30-34,000*-999*,5800
1944,female,30-34,000*-999*,7257
1945,female,30-34,000*-999*,4878
1946,female,30-34,000*-999*,3760
1947,female,30-34,000*-999*,2960
1948,female,30-34,000*-999*,2388
1949,female,30-34,000*-999*,2051
1950,female,30-34,000*-999*,2086
1951,female,30-34,000*-999*,2414
1952,female,30-34,000*-999*,2290
1953,female,30-34,000*-999*,2441
1954,female,30-34,000*-999*,2424
1955,female,30-34,000*-999*,2200
1956,female,30-34,000*-999*,2183
1957,female,30-34,000*-999*,2024
1958,female,30-34,000*-999*,1820
1959,female,30-34,000*-999*,1781
1960,female,30-34,000*-999*,1751
1961,female,30-34,000*-999*,1752
1962,female,30-34,000*-999*,1796
1963,female,30-34,000*-999*,1737
1964,female,30-34,000*-999*,1602
1965,female,30-34,000*-999*,1619
1966,female,30-34,000*-999*,1504
1967,female,30-34,000*-999*,1522
1968,female,30-34,000*-999*,1316
1969,female,30-34,000*-999*,1351
1970,female,30-34,000*-999*,1340
1971,female,30-34,000*-999*,1264
1972,female,30-34,000*-999*,1296
1973,female,30-34,000*-999*,1213
1974,female,30-34,000*-999*,1288
1975,female,30-34,000*-999*,1213
1976,female,30-34,000*-999*,1224
1977,female,30-34,000*-999*,1318
1978,female,30-34,000*-999*,1451
1979,female,30-34,000*-999*,1494
1980,female,30-34,000*-999*,1623
1981,female,30-34,000*-999*,1603
1982,female,30-34,000*-999*,1591
1983,female,30-34,000*-999*,1612
1984,female,30-34,000*-999*,1619
1985,female,30-34,000*-999*,1545
1986,female,30-34,000*-999*,1460
1987,female,30-34,000*-999*,1459
1988,female,30-34,000*-999*,1404
1989,female,30-34,000*-999*,1470
1990,female,30-34,000*-999*,1421
1991,female,30-34,000*-999*,1470
1992,female,30-34,000*-999*,1592
1993,female,30-34,000*-999*,1584
1994,female,30-34,000*-999*,1551
1995,female,30-34,000*-999*,1597
1996,female,30-34,000*-999*,1526
1997,female,30-34,000*-999*,1299
1998,female,30-34,000*-999*,1218
1999,female,30-34,000*-999*,1175
1925,female,35-39,000*-999*,8998
1926,female,35-39,000*-999*,9127
1927,female,35-39,000*-999*,8509
1928,female,35-39,000*-999*,8330
1929,female,35-39,000*-999*,8908
1930,female,35-39,000*-999*,8232
1931,female,35-39,000*-999*,8320
1932,female,35-39,000*-999*,8094
1933,female,35-39,000*-999*,7919
1934,female,35-39,000*-999*,7647
1935,female,35-39,000*-999*,7995
1936,female,35-39,000*-999*,7466
1937,female,35-39,000*-999*,7403
1938,female,35-39,000*-999*,7289
1939,female,35-39,000*-999*,6670
1940,female,35-39,000*-999*,7775
1941,female,35-39,000*-999*,6922
1942,female,35-39,000*-999*,6468
1943,female,35-39,000*-999*,6301
1944,female,35-39,000*-999*,7662
1945,female,35-39,000*-999*,5846
1946,female,35-39,000*-999*,5027
1947,female,35-39,000*-999*,4371
1948,female,35-39,000*-999*,4008
1949,female,35-39,000*-999*,3958
1950,female,35-39,000*-999*,3523
1951,female,35-39,000*-999*,3155
1952,female,35-39,000*-999*,2485
1953,female,35-39,000*-999*,2294
1954,female,35-39,000*-999*,1886
1955,female,35-39,000*-999*,2040
1956,female,35-39,000*-999*,2428
1957,female,35-39,000*-999*,2549
1958,female,35-39,000*-999*,2452
1959,female,35-39,000*-999*,2670
1960,female,35-39,000*-999*,2632
1961,female,35-39,000*-999*,2478
1962,female,35-39,000*-999*,2509
1963,female,35-39,000*-999*,2412
1964,female,35-39,000*-999*,2442
1965,female,35-39,000*-999*,2522
1966,female,35-39,000*-999*,2435
1967,female,35-39,000*-999*,2371
1968,female,35-39,000*-999*,2273
1969,female,35-39,000*-999*,2326
1970,female,35-39,000*-999*,2123
1971,female,35-39,000*-999*,2183
1972,female,35-39,000*-999*,2096
1973,female,35-39,000*-999*,1993
1974,female,35-39,000*-999*,1721
1975,female,35-39,000*-999*,1739
1976,female,35-39,000*-999*,1720
1977,female,35-39,000*-999*,1657
1978,female,35-39,000*-999*,1595
1979,female,35-39,000*-999*,1617
1980,female,35-39,000*-999*,1633
1981,female,35-39,000*-999*,1799
1982,female,35-39,000*-999*,1922
1983,female,35-39,000*-999*,2026
1984,female,35-39,000*-999*,2058
1985,female,35-39,000*-999*,2241
1986,female,35-39,000*-999*,2130
1987,female,35-39,000*-999*,2119
1988,female,35-39,000*-999*,2123
1989,female,35-39,000*-999*,2103
1990,female,35-39,000*-999*,2092
1991,female,35-39,000*-999*,2004
1992,female,35-39,000*-999*,2135
1993,female,35-39,000*-999*,2019
1994,female,35-39,000*-999*,2153
1995,female,35-39,000*-999*,2092
1996,female,35-39,000*-999*,2095
1997,female,35-39,000*-999*,1892
1998,female,35-39,000*-999*,1879
1999,female,35-39,000*-999*,1844
1925,female,40-44,000*-999*,10435
1926,female,40-44,000*-999*,10564
1927,female,40-44,000*-999*,9622
1928,female,40-44,000*-999*,9430
1929,female,40-44,000*-999*,10155
1930,female,40-44,000*-999*,9301
1931,female,40-44,000*-999*,9394
1932,female,40-44,000*-999*,9233
1933,female,40-44,000*-999*,9050
1934,female,40-44,000*-999*,8436
1935,female,40-44,000*-999*,8935
1936,female,40-44,000*-999*,8797
1937,female,40-44,000*-999*,8462
1938,female,40-44,000*-999*,8646
1939,female,40-44,000*-999*,7871
